Date_Time,港外波高_HS(主站),波向(主站),平均週期(主站),尖峰週期(主站),花蓮港9號碼頭,花蓮港17號碼頭,花蓮港25號碼頭,港外波高_HS(副站),波向(副站),平均週期(副站),尖峰週期(副站)
2024/10/29 00:00,1.94,86.43,6.45,9.04,0.08,0.31,0.35,1.9,100.5,6.83,10.03
2024/10/29 01:00,1.98,87.44,5.93,9.91,0.08,0.34,0.43,1.97,98.93,6.74,10.32
2024/10/29 02:00,2,86.12,5.91,9.49,0.1,0.36,0.42,2.02,95.6,6.07,9.18
2024/10/29 03:00,2.06,87.22,5.94,10.05,0.11,0.36,0.44,1.92,96.33,5.79,9.99
2024/10/29 04:00,2.21,93,6.85,10.15,0.12,0.47,0.49,2.01,103.97,7.19,10.77
2024/10/29 05:00,2.28,91.47,6.64,9.01,0.13,0.51,0.5,2.19,106.75,7.18,10.16
2024/10/29 06:00,2.3,92.98,7.04,9.44,0.12,0.54,0.77,2.03,97.55,6.38,10.23
2024/10/29 07:00,2.36,90.27,6.9,9.39,0.11,0.5,0.62,2.12,100.13,6.58,9.29
2024/10/29 08:00,2.33,88.04,6.77,8.32,0.1,0.37,0.56,2.2,98.54,6.3,9.28
2024/10/29 09:00,2.25,91.13,6.43,9.54,0.1,0.36,0.49,2.23,101.9,6.63,9.18
2024/10/29 10:00,2.61,92.99,6.84,9.6,0.12,0.47,0.62,2.24,98.58,7.08,10.04
2024/10/29 11:00,2.55,95.23,6.73,9.75,0.11,0.61,0.85,2.35,102.1,7.03,9.88
2024/10/29 12:00,2.23,91.79,6.75,9.49,0.13,0.57,0.75,2.33,99.62,7.18,10
2024/10/29 13:00,2.38,89.05,6.79,10.12,0.14,0.6,0.69,2.13,97.7,6.69,9.86
2024/10/29 14:00,2.3,85.08,6.26,9.76,0.14,0.59,0.61,1.97,97.35,5.35,9.82
2024/10/29 15:00,2.34,82.22,6.17,9.89,0.14,0.7,0.73,2.17,103.06,6.63,10.15
2024/10/29 16:00,2.18,87.71,6.46,9.77,0.18,0.67,0.72,2.13,97.06,6.87,9.78
2024/10/29 17:00,2.27,86.11,6.33,9.91,0.17,0.71,0.64,2.44,95.84,6.83,10.07
2024/10/29 18:00,2.39,88.67,6.69,10.09,0.21,1.06,1.15,2.04,97.59,6.73,9.83
2024/10/29 19:00,2.59,97.51,6.83,10.46,0.19,0.97,1.11,2.36,104.83,7.08,10.34
2024/10/29 20:00,2.31,95.02,6.79,10.17,0.19,0.81,0.92,2.3,99.96,6.7,10.28
2024/10/29 21:00,2.4,93.33,6.3,10.12,0.16,0.82,1.14,2.45,99.57,6.89,10.22
2024/10/29 22:00,2.54,90.1,6.02,9.9,0.15,0.85,1.2,2.5,99.77,6.62,10.02
2024/10/29 23:00,2.56,89.97,7.07,9.86,0.14,0.8,0.98,2.38,101.36,6.96,10.03
2024/10/30 00:00,2.5,88.28,7.23,9.75,0.14,0.88,0.99,2.38,98.54,6.95,9.95
2024/10/30 01:00,2.45,84.68,6.81,10.11,0.15,0.96,0.99,2.54,101.06,7.6,10.43
2024/10/30 02:00,2.62,92.46,7.31,10.02,0.15,0.83,0.94,2.38,97.79,7.57,10.01
2024/10/30 03:00,2.22,94.47,7.02,10.66,0.2,0.89,1.18,2.01,102.19,6.97,9.63
2024/10/30 04:00,2.26,98.75,6.89,9.92,0.18,0.78,0.92,2.14,106.05,7.5,10.1
2024/10/30 05:00,2.21,99.46,7.14,10.97,0.3,1.37,1.09,2.18,102.77,7.64,10.31
2024/10/30 06:00,2.22,96.49,7.17,10.76,0.22,1.45,1.17,2.02,101.72,7.23,10.68
2024/10/30 07:00,NULL,NULL,NULL,NULL,0.31,1.54,1.31,2.61,105.25,8.27,10.21
2024/10/30 08:00,2.63,96.09,7.54,10.02,0.28,1.28,1.21,2.45,101.75,6.99,10.11
2024/10/30 09:00,2.75,92.83,7.41,10.1,0.24,1.33,1.29,2.47,107.81,7.59,9.98
2024/10/30 10:00,2.87,99.45,7.92,10.29,0.27,1.52,1.23,2.54,107.18,7.75,10.19
2024/10/30 11:00,2.99,96.26,8.2,11,0.28,1.78,1.47,2.42,103.98,7.68,10.68
2024/10/30 12:00,2.9,93.58,7.58,10.05,0.41,1.77,1.28,2.53,101.46,7.27,10.11
2024/10/30 13:00,2.87,88.33,7.33,9.83,0.33,1.55,1.36,2.47,101.02,7.64,9.87
2024/10/30 14:00,3.12,96.16,7.34,11.83,0.38,1.48,1.19,2.9,106.68,7.79,10.37
2024/10/30 15:00,2.92,91.38,7.28,10.3,0.42,1.77,1.28,2.81,102.02,7.98,9.93
2024/10/30 16:00,2.98,95.31,7.94,10.23,0.43,1.9,1.32,2.58,103.81,7.65,9.48
2024/10/30 17:00,2.95,96.17,7.47,10.04,0.5,1.73,1.46,2.55,105.53,7.06,9.97
2024/10/30 18:00,2.81,96.14,7.35,12.18,0.47,1.98,1.4,2.57,110.32,7.86,10.48
2024/10/30 19:00,2.84,98.82,7.77,10.67,0.44,1.73,1.14,2.61,106.25,7.65,10.3
2024/10/30 20:00,2.95,98.32,7.4,12.69,0.43,1.99,1.49,2.9,103.29,7.74,10.25
2024/10/30 21:00,3.35,99.69,8.16,12.91,0.45,2.15,1.47,2.97,108.91,8.37,10.5
2024/10/30 22:00,3.06,94.4,8.22,10.69,0.73,2.79,1.85,2.73,110.98,7.56,10.68
2024/10/30 23:00,3.19,100.82,8.74,13.71,0.55,2.39,1.75,2.74,108.74,8.01,9.94
2024/10/31 00:00,3.52,103.66,9.12,12.33,0.57,2.42,1.61,3.04,108.3,7.94,11.1
2024/10/31 01:00,3.48,111.16,8.21,12.9,0.6,2.51,2.06,3.31,107.6,8.36,10.22
2024/10/31 02:00,3.86,106.92,8.8,13.55,0.79,2.27,1.95,3.74,116.64,9.45,13.24
2024/10/31 03:00,4.19,116.01,10.37,15.42,0.76,3.51,2.65,6.71,-999.99,14.32,-999.99
2024/10/31 04:00,5.84,-999.99,10.88,-999.99,0.93,3.22,3.74,5.02,126.81,-999.99,13.54
2024/10/31 05:00,5.12,120.99,10.35,14.29,0.93,3.32,3.21,4.81,119.34,9.1,14.49
2024/10/31 06:00,5.51,120.55,10.12,13.99,0.85,3.22,3,5.63,-999.99,11.05,-999.99
2024/10/31 07:00,5.38,124.69,9.31,13.03,0.77,2.87,3.14,5.5,118.58,9.75,13.45
2024/10/31 08:00,5.61,121.79,8.81,12.6,0.77,2.59,3.1,5.36,120.1,13.36,10.01
2024/10/31 09:00,6.27,132.33,8.81,13.56,0.74,3.18,3.49,6.89,126.72,13.36,14.27
2024/10/31 10:00,NULL,NULL,NULL,NULL,0.89,2.75,3.48,5.95,129.66,13.36,14.16
2024/10/31 11:00,NULL,NULL,NULL,NULL,1.23,3.27,3.7,7.25,124.39,13.36,7.91
2024/10/31 12:00,NULL,NULL,NULL,NULL,0.81,2.35,4.01,7.61,246.4,13.36,10.72
2024/10/31 13:00,NULL,NULL,NULL,NULL,0.9,2.6,3.82,7.88,220.67,13.36,11.94
2024/10/31 14:00,NULL,NULL,NULL,NULL,1.14,3.8,NULL,10.52,177.99,13.36,13.08
2024/10/31 15:00,NULL,NULL,NULL,NULL,1.07,3.63,NULL,8.81,125.13,-999.99,13.02
2024/10/31 16:00,NULL,NULL,NULL,NULL,0.85,3.33,NULL,7.63,137.98,-999.99,11.14
2024/10/31 17:00,NULL,NULL,NULL,NULL,0.81,3.21,NULL,7.91,75.71,-999.99,8.3
2024/10/31 18:00,NULL,NULL,NULL,NULL,0.77,3.02,NULL,8.12,135.51,-999.99,8.41
2024/10/31 19:00,NULL,NULL,NULL,NULL,0.65,2.33,NULL,5.49,321.49,-999.99,9.64
2024/10/31 20:00,NULL,NULL,NULL,NULL,0.59,2.17,NULL,8.64,339.61,-999.99,8.93
2024/10/31 21:00,NULL,NULL,NULL,NULL,0.62,1.99,NULL,5.93,359.33,-999.99,9.98
2024/10/31 22:00,NULL,NULL,NULL,NULL,0.64,2.12,NULL,5.81,275.06,-999.99,9.58
2024/10/31 23:00,NULL,NULL,NULL,NULL,0.71,1.84,NULL,4.43,46.45,-999.99,9.52
2024/11/1 00:00,NULL,NULL,NULL,NULL,0.64,1.68,NULL,5.4,301.57,-999.99,9.36
2024/11/1 01:00,NULL,NULL,NULL,NULL,0.62,1.52,NULL,4.53,155.3,-999.99,9.18
2024/11/1 02:00,NULL,NULL,NULL,NULL,0.35,1.23,NULL,4.71,224.35,-999.99,8.48
2024/11/1 03:00,NULL,NULL,NULL,NULL,0.23,0.95,NULL,5.04,39.77,-999.99,9.07
2024/11/1 04:00,NULL,NULL,NULL,NULL,0.2,0.84,NULL,2.7,350.74,-999.99,9.89
2024/11/1 05:00,NULL,NULL,NULL,NULL,0.18,0.79,NULL,5.11,356.99,-999.99,8.29
2024/11/1 06:00,NULL,NULL,NULL,NULL,0.15,0.62,NULL,3.97,169.58,-999.99,8.38
2024/11/1 07:00,NULL,NULL,NULL,NULL,0.19,0.73,NULL,3.65,299.12,-999.99,8.39
2024/11/1 08:00,NULL,NULL,NULL,NULL,0.17,0.59,NULL,3.53,192.86,-999.99,8.88
2024/11/1 09:00,NULL,NULL,NULL,NULL,0.15,0.63,NULL,3.16,349.11,-999.99,7.96
2024/11/1 10:00,NULL,NULL,NULL,NULL,0.18,0.59,NULL,3.62,314.49,-999.99,8.3
2024/11/1 11:00,NULL,NULL,NULL,NULL,0.11,0.49,NULL,3.69,156.52,-999.99,8.27
2024/11/1 12:00,NULL,NULL,NULL,NULL,0.12,0.62,NULL,4.22,45.6,-999.99,8.39
2024/11/1 13:00,NULL,NULL,NULL,NULL,0.14,0.48,NULL,2.94,224.34,-999.99,8.01
2024/11/1 14:00,NULL,NULL,NULL,NULL,0.13,0.53,NULL,1.82,186.99,-999.99,8.26
2024/11/1 15:00,NULL,NULL,NULL,NULL,0.12,0.36,NULL,1.99,24.06,-999.99,8.26
2024/11/1 16:00,NULL,NULL,NULL,NULL,0.11,0.45,NULL,2.39,196.71,-999.99,7.92
2024/11/1 17:00,NULL,NULL,NULL,NULL,0.11,0.38,NULL,3.94,288.35,-999.99,8.24
2024/11/1 18:00,NULL,NULL,NULL,NULL,0.13,0.39,NULL,4,1.65,-999.99,8.23
2024/11/1 19:00,NULL,NULL,NULL,NULL,0.13,0.49,NULL,NULL,NULL,NULL,NULL
2024/11/1 20:00,NULL,NULL,NULL,NULL,0.14,0.43,NULL,3.02,19.79,-999.99,8.23
2024/11/1 21:00,NULL,NULL,NULL,NULL,0.15,0.31,NULL,NULL,NULL,NULL,NULL
2024/11/1 22:00,NULL,NULL,NULL,NULL,0.12,0.26,NULL,1.14,211.59,-999.99,8.16
2024/11/1 23:00,NULL,NULL,NULL,NULL,0.08,0.2,NULL,NULL,NULL,NULL,NULL
